TOTALDEMAND,Date,Time,TEMPERATURE
7057.51,1/1/2015,0:00,20.9
6920.94,1/1/2015,0:30,20
6668.71,1/1/2015,1:00,19.4
6327.71,1/1/2015,1:30,19.1
6056.02,1/1/2015,2:00,18.9
5827.97,1/1/2015,2:30,18.6
5711.33,1/1/2015,3:00,18.4
5653.85,1/1/2015,3:30,18
5625.27,1/1/2015,4:00,18
5618.95,1/1/2015,4:30,17.8
5580.51,1/1/2015,5:00,17.9
5589.51,1/1/2015,5:30,18.1
5646.63,1/1/2015,6:00,20
5806.57,1/1/2015,6:30,21.7
5998.21,1/1/2015,7:00,22.7
6221.81,1/1/2015,7:30,23.5
6361.85,1/1/2015,8:00,24
6572.36,1/1/2015,8:30,25
6777.41,1/1/2015,9:00,25.2
6984.62,1/1/2015,9:30,26.2
7149.04,1/1/2015,10:00,27.1
7298.73,1/1/2015,10:30,28.1
7473.69,1/1/2015,11:00,28.7
7657.83,1/1/2015,11:30,28.9
7799.16,1/1/2015,12:00,28.7
7916.74,1/1/2015,12:30,28.9
8056.15,1/1/2015,13:00,29
8266.21,1/1/2015,13:30,28.5
8448.61,1/1/2015,14:00,29.1
8672.66,1/1/2015,14:30,28.6
8853.28,1/1/2015,15:00,28
9053.87,1/1/2015,15:30,28
9167.67,1/1/2015,16:00,27.7
9198.8,1/1/2015,16:30,27.7
9324.24,1/1/2015,17:00,26.7
9253.41,1/1/2015,17:30,26.1
9063.39,1/1/2015,18:00,26.1
8904.95,1/1/2015,18:30,25.6
8722.41,1/1/2015,19:00,25
8592.39,1/1/2015,19:30,24.7
8600.25,1/1/2015,20:00,24.4
8441.17,1/1/2015,20:30,24.3
8202.75,1/1/2015,21:00,24
8023.55,1/1/2015,21:30,24
7785.96,1/1/2015,22:00,24
7653.88,1/1/2015,22:30,24.4
7403.39,1/1/2015,23:00,23.8
7173.16,1/1/2015,23:30,23.4
7021.85,2/1/2015,0:00,23.2
6822.81,2/1/2015,0:30,22
6558.29,2/1/2015,1:00,21.6
6242.62,2/1/2015,1:30,21.4
6016.26,2/1/2015,2:00,21.4
5867.81,2/1/2015,2:30,21.3
