Actual_Values,Lower_5%,Upper_5%
9342.42,9264.768,9340.1665
7631.22,7616.0845,7655.5355
8813.55,8705.4035,8816.64
7424.14,7198.874,7313.96
6496.3,6406.205000000001,6434.357
6205.69,6230.373,6274.81175
7239.1,7296.667,7326.17
10585.51,10235.97,10427.388500000001
10920.4,10756.08,10847.8915
6262.43,6059.86,6200.243
8004.52,7943.677000000001,8025.99625
9017.19,8922.561249999999,9022.76
9614.9,9579.45,9664.49
7868.02,7693.98,7787.762500000001
8289.13,8227.4405,8315.2
6120.28,6114.960499999999,6150.31
6852.94,6793.767,6920.61
6096.73,5956.923999999999,6024.24
8742.71,8539.33925,8651.3
8411.71,8376.329,8476.31
7533.14,7457.71,7499.8935
8915.17,8778.3125,8859.97
8345.27,8205.656,8258.9515
7336.09,7318.04,7408.5785
8738.09,8665.697,8745.1
8276.47,8252.95125,8322.0355
7443.95,7369.19,7472.951
6733.26,6556.95625,6641.615
8315.84,8327.1275,8373.523500000001
7576.67,7466.0345,7573.1245
9222.31,9184.45325,9274.305499999999
9565.52,9497.8725,9686.79
6934.71,6751.49,6938.63825
9280.57,9275.917000000001,9360.895999999999
10861.23,10658.800000000001,10739.924
7081.51,6981.8925,7024.71825
6235.53,6107.761,6228.54825
10332.67,9958.53725,10154.5465
8220.13,8033.29,8185.369
7663.47,7604.834,7693.91
7261.0,7169.66,7220.4394999999995
9175.78,9064.260250000001,9166.2645
7833.48,7669.7455,7731.962
7296.31,7270.9965,7300.91925
7659.8,7531.1265,7609.448
10837.76,10530.3655,10583.71
7239.94,7172.963,7208.28
6107.26,6087.5025,6144.1265
7397.83,7261.724,7311.59
8282.55,8192.030499999999,8250.04925
8627.46,8541.087,8647.098
7308.67,7342.21,7396.3
7169.81,7044.521,7145.671
6139.43,6201.77,6238.28
10171.21,9786.750750000001,10144.32
7119.51,7174.4310000000005,7224.55
9742.27,9721.072,9826.67
7033.84,6935.86625,7034.23025
6199.67,6265.893999999999,6314.63225
7262.95,7221.87675,7263.16175
10402.5,10372.116999999998,10487.04
7926.24,7681.76,7861.07
8174.39,8138.133000000001,8151.14975
12227.27,11950.46,12136.93
5702.21,5616.672500000001,5627.7275
7089.87,6936.934,7062.2595
7017.66,6935.48625,6968.85
8080.22,8012.3857499999995,8039.541
10434.85,10336.981,10402.63175
6165.84,6149.6900000000005,6206.042
8822.52,8724.584499999999,8842.26
7826.98,7850.469,7878.30175
6472.71,6479.6,6484.11325
9223.95,8967.0,9086.72
6018.86,5979.09,6043.71025
6628.07,6641.97,6730.8585
10151.21,10029.675,10113.12
7012.21,6943.2465,6980.1605
9770.03,9645.0925,9764.2
8455.93,8333.695,8512.929
7825.55,7798.5315,7851.606250000001
