,prediction,target
0,6560.781903309544,6655.67
1,6519.134666583417,6482.38
2,6327.096851849018,6340.63
3,6156.5543771907105,6114.56
4,5949.703689144597,5984.04
5,5885.944885957009,5907.04
6,5859.095407394106,5838.18
7,5802.309514169392,5883.06
8,5906.193951777612,5960.3
9,6139.32955462412,6224.29
10,6415.136637284783,6472.76
11,6826.60273928654,6940.18
12,7230.370995032075,7377.0
13,7729.87425062373,7821.31
14,8195.062771502295,8063.72
15,8249.904526939332,8083.1
16,8040.607773144196,7950.05
17,7801.961800238795,7789.85
18,7694.736739886682,7739.34
19,7676.215771577496,7691.68
20,7651.808047768015,7589.03
21,7489.981205593392,7585.29
22,7566.266732826199,7457.31
23,7359.364336506042,7404.97
24,7313.820537865879,7271.16
25,7209.9365449144525,7174.49
26,7166.911042217839,7296.26
27,7333.351963717634,7282.42
28,7278.205863586014,7225.7
29,7269.295727840629,7239.89
30,7300.253305073904,7359.21
31,7472.6619522990495,7450.39
32,7628.337918515966,7648.98
33,7834.559674268237,7830.09
34,8081.997254464067,8124.32
35,8374.320933806921,8310.24
36,8422.295576190296,8465.11
37,8451.845691646227,8445.17
38,8392.197611409287,8476.08
39,8303.094814028249,8340.77
40,8155.4706674642075,8106.18
41,7903.366937803113,7870.11
42,7688.890510452751,7662.72
43,7568.197842429344,7569.53
44,7438.739909302753,7439.78
45,7348.691978494061,7456.39
46,7378.368702595761,7387.78
47,7322.544419534596,7262.95
48,7175.0263280518975,7092.9
49,6947.173789009739,6911.53
50,6726.013360213588,6782.03
51,6605.253451165247,6435.37
52,6239.8535261452935,6272.13
53,6106.588007478491,6148.56
54,6060.470466352682,6050.09
55,6004.257065197974,6081.52
56,6120.275137170335,6136.15
57,6291.38083068479,6336.16
58,6568.84580053094,6562.37
59,6931.052716326154,7063.06
60,7438.420319858986,7530.25
61,7865.455525452488,7895.69
62,8169.783162635936,8088.07
63,8231.229121827952,8024.67
64,7901.65876574448,7819.01
65,7658.314408468736,7768.2
66,7671.429137172955,7600.82
67,7478.049035313209,7569.85
68,7532.292421329442,7479.35
69,7383.364948023707,7386.99
70,7309.198146633228,7335.65
71,7274.225960862621,7275.0
72,7228.711966181723,7280.35
73,7238.27745265587,7170.8
74,7168.927145858796,7196.5
75,7232.063097757907,7170.25
76,7211.791100853535,7259.1
77,7325.267539314853,7329.06
78,7420.666760460836,7420.61
79,7587.985558807189,7589.7
80,7753.952648029634,7732.15
81,7902.397066569665,8010.33
82,8285.31962988283,8223.21
83,8339.300894687281,8280.41
84,8366.902144535654,8391.07
85,8424.681125676701,8405.51
86,8352.605975199273,8458.57
87,8306.795950218278,8287.08
88,8112.179471040898,8088.64
89,7903.06475750633,7868.28
90,7683.132876332988,7655.45
91,7567.2564256796695,7535.95
92,7407.586566180868,7480.9
93,7403.498762796477,7465.5
94,7389.839015951085,7387.71
95,7302.49481344365,7265.18
96,7192.414853596122,7210.93
97,7072.026060882291,7020.78
98,6859.963032216986,6843.14
99,6589.895316901224,6563.92
100,6346.467922811317,6316.06
101,6142.470736978536,6102.74
102,6004.244682410716,6065.0
103,6030.009049590391,6091.8
104,6133.778059471394,6167.44
105,6324.463024509409,6344.13
106,6560.56490829695,6615.13
107,6987.466464981834,7045.29
108,7451.376440982077,7494.14
109,7974.192210713458,7824.62
110,8151.243634098318,7991.83
111,8100.517226098334,7894.53
112,7754.500992150603,7692.5
113,7540.306264056704,7539.08
114,7446.847805664018,7320.47
115,7174.718142063819,7230.7
116,7176.70550677981,7132.91
117,7071.869383410147,7014.26
118,6920.948108164694,6947.86
119,6879.23784520224,6863.64
120,6849.956108365197,6855.03
121,6878.814464430632,6845.01
122,6900.6859933761825,6910.21
123,6950.690975822774,6945.78
124,7024.569809559634,6967.66
125,7071.353662940066,7025.8
126,7151.136630222075,7188.62
127,7335.343616334973,7434.19
128,7700.553178897226,7713.0
129,7978.8904682496295,7957.89
130,8209.441267441543,8232.41
131,8432.625403991178,8340.9
132,8413.085051895787,8498.9
133,8471.146739812657,8424.91
134,8364.83403382878,8415.04
135,8308.80373443024,8232.06
136,8046.824408746302,8048.2
137,7851.8799116360215,7934.33
138,7777.395739861583,7699.21
139,7576.588514204719,7638.38
140,7499.946827410055,7469.04
141,7373.811077694263,7411.79
142,7314.400022317183,7274.07
143,7193.534205197834,7169.72
144,7058.644952142663,7064.06
145,6886.832339513149,6854.62
146,6672.967878206082,6692.13
147,6432.2390233874585,6416.29
148,6165.019430575008,6147.62
149,5984.15217605198,6057.17
150,5978.233858101893,5981.19
151,5974.671828181914,5999.57
152,6051.703704678581,6073.9
153,6252.880669422127,6323.44
154,6554.4470531363595,6583.94
155,6953.832325156345,7015.65
156,7427.915800759257,7437.59
157,7809.954747400941,7757.99
158,7934.598634342157,7922.25
159,7922.421310561452,7892.99
160,7791.252820490433,7695.69
161,7570.4684966774785,7620.06
162,7530.202079570559,7521.16
163,7470.33347526022,7417.0
164,7373.29676912979,7430.26
165,7398.046353609625,7340.6
166,7338.794722611675,7374.66
167,7439.006836937352,7444.46
168,7496.525272802023,7451.02
169,7510.504222638533,7574.14
170,7706.852626817841,7661.91
171,7803.783051285298,7805.41
172,7975.080324650113,7957.51
173,8121.584055266128,8173.93
174,8323.86481193352,8371.24
175,8549.444907106861,8649.13
176,8889.065619176574,8876.34
177,9145.804896691598,9201.02
178,9375.531638971514,9472.43
179,9681.101786536721,9520.06
180,9489.163614614496,9539.15
181,9477.516641445598,9337.17
182,9143.447669149931,9295.5
183,9140.643343801668,9003.87
184,8788.738321259532,8763.89
185,8522.262915723799,8436.49
186,8205.397377918378,8106.16
187,7920.995370793685,7945.0
188,7771.1549304872415,7744.07
189,7605.5045189326065,7687.11
190,7562.43211808243,7505.2
191,7376.023813981715,7286.84
192,7177.608475119789,7188.84
193,7009.570962931776,7016.52
194,6815.599736949657,6783.71
195,6551.399992619704,6474.48
196,6278.494829967836,6272.24
197,6087.512022075548,6144.32
198,6059.59416911188,6054.53
199,6027.112980692357,6052.84
200,6070.56520979806,6104.83
201,6272.960760145041,6282.3
202,6521.708027949672,6499.96
203,6840.939221803532,6920.67
204,7225.626110028191,7267.45
205,7570.25216279236,7591.03
206,7833.252246800868,7783.12
207,7873.655261303448,7794.63
208,7758.160413989968,7761.95
209,7696.501586758365,7731.77
210,7721.7057893318015,7726.39
211,7726.870744902919,7728.65
212,7731.724906887033,7699.11
213,7698.5965461938595,7631.6
214,7610.189113303441,7591.49
215,7634.309797397449,7799.8
216,7958.849806457845,7942.66
217,8059.934174770703,8100.3
218,8235.862842038716,8292.76
219,8513.925584397104,8480.66
220,8671.55797867796,8730.82
221,8981.84272885119,8932.5
